"Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF16F5309ADMXCO","10.188.95.11","6C:4B:90:BA:3E:BF","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNH1DF407ADMXCO","10.188.72.51","D8:BB:C1:80:11:EB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XONF6E610ADMXCO","10.188.101.146","00:D8:61:62:55:7B","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB120303ADMXCO","10.188.32.149","D8:BB:C1:EE:45:C2","Windows 10"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter","VVX1B4C12ALMXCO","10.188.218.88","70:9C:D1:B3:18:11","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI20FD208ADMXCO","10.188.81.50","2C:F0:5D:C1:55:73","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF7E4C609ADMXCO","10.188.91.151","D8:BB:C1:EE:37:A5","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB0CA403ADMXCO","10.188.31.176","6C:4B:90:B5:19:09","Windows 11"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter","VOR168D09ADMXCO","10.188.91.158","D8:BB:C1:EE:44:86","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNH752B07ADMXCO","10.188.72.88","B8:CA:3A:AD:0C:19","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDC2B9514ALMXCO","10.188.220.120","70:CF:49:F8:9D:91","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF42D2F09ADMXCO","10.188.91.89","10:E7:C6:B9:84:90","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDD022A07ALMXCO","10.188.72.185","F4:39:09:7F:A8:96","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VND3CE407ADMXC0","10.188.71.100","D8:BB:C1:7F:DC:21","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XO25B6810ADMXCO","10.188.105.159","00:D8:61:62:57:02","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNR5BE807ALMXCO","10.188.72.174
172.30.32.1","00:15:5D:DA:ED:EB
98:FA:9B:0F:58:A9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS236B909ADMXCO","10.188.92.32","6C:4B:90:E2:CA:4E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VN7C8D707ALMXCO","10.188.75.242","98:FA:9B:0D:1B:7F","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNH1B0807ALMXCO","10.188.72.12","98:FA:9B:0D:1C:EC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS10D6509ADMXCO","10.188.92.59","A0:48:1C:7E:56:12","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFC10D509ADMXCO","10.188.92.84","C8:D3:FF:BC:B6:FD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF8AD8C15ADMXCO","10.188.155.121","00:D8:61:62:55:BD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFF089909ALMXCO","10.188.218.39","20:16:B9:C3:62:39","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VC706AD14ALMXCO","10.188.142.44
10.253.228.126","48:89:E7:31:0B:96
E8:6A:64:F9:BB:A7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VN456CD07ALMXCO","10.188.71.77","D4:BE:D9:78:E6:5C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH44AEF04ADMXCO","10.188.41.43","E0:BE:03:1E:0E:A3","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOB2DCB10ADMXCO","10.188.107.154","04:7C:16:9E:11:62","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VP9770B06ALMXCO","10.188.65.210
192.168.56.1","0A:00:27:00:00:09
38:F3:AB:D4:74:57","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI33AC508ADMXCO","10.188.85.11","18:60:24:EE:53:41","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF43FE509ADMXCO","10.188.92.164","70:5A:0F:31:84:C0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF2146A09GLMXCO","10.188.86.156","F8:75:A4:03:72:97","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDUED6D12ADMXCO","10.188.122.34","00:D8:61:6C:68:7C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK10CC106ADMXC","10.188.48.25
192.168.56.1","0A:00:27:00:00:06
18:60:24:EE:4F:63","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VOR168D09ALMXCO","192.168.100.12","B6:52:6A:A9:8E:F9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF2237A08ALMXCO","10.188.82.60","98:FA:9B:99:4F:C5","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC293103ADMXCO","10.188.32.96","D8:BB:C1:80:0F:03","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOV1082810ADMXC","10.188.107.49","E0:BE:03:1E:0C:A0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI0G06313ALMXCO","10.188.131.186","90:2E:16:70:AA:F1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOMED9110ALMXCO","10.188.221.10","80:38:FB:53:2D:02","Windows 10"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter","VFN108D208ALMXC","10.188.221.151
10.188.87.170
192.168.230.1
192.168.29.1","00:50:56:C0:00:01
00:50:56:C0:00:08
98:FA:9B:0F:5A:D2
A0:51:0B:51:1C:A6","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XO292EB10ADMXCO","10.188.107.119","E0:BE:03:1E:16:C4","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VUF63E112ALMXCO","10.188.223.123","80:38:FB:3E:75:F1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOWEB4201ADMXCO","10.188.111.106","00:D8:61:62:55:9E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC12F803ADMXCO","10.188.35.75","D8:BB:C1:80:10:B3","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPT160313ALMXCO","10.188.216.175","D0:3C:1F:14:6B:26","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK63B106ALMXCO","10.188.48.206","F8:75:A4:0E:08:82","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK281206ALMXCO","10.188.48.181","90:2E:16:70:93:A9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPKA47B06ADMXCO","10.188.48.12","04:7C:16:9E:B9:24","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPK3DEF06ADMXCO","10.188.48.5","E0:BE:03:1D:8F:0F","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPK1075006ADMXC","10.188.48.105","04:7C:16:9E:B5:4A","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK04B5406ADMXC","10.188.48.249","04:7C:16:9E:B8:6B","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPK317B06ADMXCO","10.188.48.246","04:7C:16:9E:BC:4D","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK55CF06ALMXCO","10.188.48.174","90:2E:16:70:8B:E9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK7A2506ADMXCO","10.188.48.7","E0:BE:03:1D:8F:94","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIC0F2208ADMXCO","10.188.132.22","10:E7:C6:B9:90:AA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFD66C008ADMXCO","10.188.82.190","00:D8:61:62:56:3B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNHF86007ADMXCO","10.188.71.81","18:03:73:40:90:FB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI8C1FC08ADMXCO","10.188.85.63","18:60:24:EE:53:4A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFO19FB06ALMXCO","10.188.61.65
192.168.189.1
192.168.19.1","00:50:56:C0:00:01
00:50:56:C0:00:08
6C:24:08:AF:85:89","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPKC48806ADMXCO","10.188.48.56","04:7C:16:9E:B4:0A","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOK357306ADMXCO","10.188.61.113","EC:8E:B5:75:D0:03","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFDDF5108ADMXCO","10.188.82.191
192.168.56.1","0A:00:27:00:00:04
10:E7:C6:B9:85:21","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPE241112ALMXCO","10.188.220.99","80:38:FB:3F:28:8E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC182303ADMXCO","10.188.35.165","00:D8:61:6C:68:C9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF21031B08ADMXC","10.188.87.183
172.17.80.1
172.29.176.1","00:15:5D:4D:DE:75
00:15:5D:A4:41:B0
A0:48:1C:82:C5:8E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VUC74B812ALMXCO","10.188.218.170","70:9C:D1:AF:F8:89","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOECE2C11ADMXC0","10.188.112.73","D8:BB:C1:80:0E:D6","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK928106ALMXCO","10.188.48.55","84:A9:38:39:3A:B2","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFN5BBD08ALMXCO","10.188.81.99
172.26.192.1
172.27.160.1
172.30.224.1","00:15:5D:5F:DA:1A
00:15:5D:75:4E:1F
00:15:5D:E3:01:AC
20:7B:D5:1A:5D:21","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOCE2B803ADMXCO","10.188.35.247","D8:BB:C1:7F:D9:E6","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ3D8D613ADMXCO","10.188.131.169","6C:4B:90:B3:8B:FA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ3CE2213ADMXCO","10.188.130.40","2C:F0:5D:BF:A2:3C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC23CC03ADMXCO","10.188.35.220","D8:BB:C1:7F:CE:72","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFG106F809ADMXC","10.188.92.169","00:D8:61:62:55:D4","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF10E5809ADMXCO","10.188.92.131","00:D8:61:B2:74:4D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM8F9410ADMXCO","10.188.101.177","6C:4B:90:B5:18:FD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB582E03ADMXCO","10.188.31.181","6C:4B:90:E2:CE:D6","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB3CC003ADMXCO","10.188.32.113","E0:BE:03:1E:0E:A7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGBF0B303ADMXCO","10.188.31.58","D8:BB:C1:7F:DA:2D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON496410ADMXCO","10.188.107.37","D8:BB:C1:EE:4B:E1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH411E404ADMXCO","10.188.42.132","E0:BE:03:1E:16:99","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON572710ADMXCO","10.188.101.151","D8:BB:C1:EA:D9:5F","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM86F410ADMXCO","10.188.105.112","18:60:24:ED:C3:4D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XO285AC10ADMXCO","10.188.101.138","D8:BB:C1:80:10:BB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOH8E1F10ADMXCO","10.188.107.148","18:60:24:ED:C1:C2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC328703ADMXCO","10.188.31.187","D8:BB:C1:7F:67:FA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGBF0B703ADMXCO","10.188.31.156","D8:BB:C1:7F:DC:0D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF2107BF08DMXCO","10.188.81.12
172.31.144.1","00:15:5D:28:E1:82
18:60:24:ED:C1:1A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ3832013ADMXCO","10.188.136.11","00:D8:61:62:56:EC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON33B310ADMXCO","10.188.107.216","00:D8:61:62:56:77","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDCED0614ADMXCO","10.188.142.165","A0:D3:C1:07:86:B6","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VP010C7F01ADMXC","10.188.175.242","90:B1:1C:75:07:CE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNH68AB07ADMXCO","10.188.72.188","D8:BB:C1:7F:DA:3D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDMG01314ADMXCO","10.188.138.182","10:E7:C6:B9:90:66","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH4E09D04ADMXC0","10.188.42.37","70:5A:0F:31:84:A5","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","SVGAM02PBADMXCO","10.188.200.230","10:E7:C6:B3:E8:10","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOV2AED10ADMXCO","10.188.101.147","C8:D3:FF:BC:B7:01","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC188703ADMXCO","10.188.32.55","D8:BB:C1:7F:CD:94","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOE10C8211DMXCO","10.188.115.54","D8:BB:C1:7F:6C:4E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XONA25810ADMXCO","10.188.101.156","D8:BB:C1:EA:DB:86","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFJEF4609ADMXCO","10.188.95.93","10:E7:C6:B9:85:CE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC102B403ADMXC","10.188.32.59","6C:4B:90:BA:3E:68","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIE10E468ADMXCO","10.188.82.18","50:65:F3:1D:AB:77","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFK3C1309ADMXCO","10.188.95.248","6C:4B:90:B4:37:C7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XONAAAB10ADMXCO","10.188.102.163","00:D8:61:6C:68:72","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOP2BD313ALMXCO","10.188.238.27","98:FA:9B:49:5F:0A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOMC90510ADMXCO","10.188.107.219","04:7C:16:9E:B6:0D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF8511809ADMXCO","10.188.95.138","6C:4B:90:BA:3F:1A","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC110A03ADMXC0","10.188.32.142","D8:BB:C1:7F:D9:EA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON497310ADMXCO","10.188.105.20","00:D8:61:62:56:51","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPD273208ADMXCO","10.188.85.31
192.168.56.1","0A:00:27:00:00:0C
8C:DC:D4:48:78:C6","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOHFA8610ADMXCO","10.188.101.222","00:D8:61:6C:67:F0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VY6ED6613ALMXCO","10.188.131.91
172.19.176.1
172.22.80.1","00:15:5D:A2:0C:CC
00:15:5D:F7:A6:BC
F4:30:B9:C7:63:87","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFF31C901ADMXCO","10.188.91.57","10:E7:C6:B9:85:8E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNA32CF07ALMXCO","10.253.125.225","A0:51:0B:51:1F:8A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VR711FD05ADMXCO","10.188.51.51","8C:DC:D4:53:E7:B8","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOMC5C410ALMXCO","10.55.221.192
192.168.1.75","D4:E9:8A:6C:3E:46","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOME0DC10ADMXCO","10.188.107.197","04:7C:16:9E:B6:C0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI26D0B08ADMXCO","10.188.89.37","B8:AE:ED:2A:50:1D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VYDEF2B13ALMXCO","10.188.132.15","84:A9:38:39:39:1E","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB151203ADMXCO","10.188.32.11","6C:4B:90:E2:CE:F1","Windows 10"
"active_directory_adapter
active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VC43B0B14ALMXCO","10.188.141.41","84:BA:59:63:66:3E","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON1081110ADMXC","10.188.107.20","D8:BB:C1:80:0F:3F","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC02CC03ADMXCO","10.188.32.122","00:D8:61:B2:71:8B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC086A03ADMXCO","10.188.32.165","D8:BB:C1:7F:D7:E2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOCAA5D03ADMXCO","10.188.31.132","D8:BB:C1:7F:D9:EC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC1C1E03ADMXCO","10.188.32.135","D8:BB:C1:7F:D7:77","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VY010CA513ALMXC","10.188.131.71
192.168.42.1
192.168.46.1","00:50:56:C0:00:01
00:50:56:C0:00:08
8C:8C:AA:BC:88:F1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VY535A813ALMXCO","10.188.136.118
10.253.127.227","EE:4F:5C:B0:79:22
F4:39:09:D6:F2:CA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VYC47C313ALMXCO","10.188.131.74","FC:3F:DB:34:26:9A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC2FCF03ADMXCO","10.188.31.105","D8:BB:C1:80:0F:F1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNH10FE907ADMXC","10.188.72.198
192.168.137.1","0A:6A:C5:0D:34:87
D8:BB:C1:7A:9E:A8","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","X9018A703ADMXCO","10.188.32.146","D8:BB:C1:80:0F:8A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB2A2B03ADMXCO","10.188.31.230","D8:BB:C1:7F:DB:58","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI7BF8308ALMXC0","10.188.82.68","8C:8C:AA:BC:98:05","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XMO37FC10ADMXC0","10.188.107.130","E0:BE:03:1E:16:B7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFB147209GDMXCO","10.188.92.191","00:D8:61:6C:67:34","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI3G00U08ADMXCO","10.188.81.247","90:B1:1C:6B:A7:44","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC0C7703ADMXC","10.188.51.126","D8:BB:C1:7F:D7:5E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VT9CE2613ADMXCO","10.188.131.10","00:D8:61:62:55:99","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","SVGAM01PBADMXCO","10.188.200.117","18:60:24:DE:39:93","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB188501ADMXCO","10.188.32.116","E0:BE:03:1E:0D:28","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC07E703ADMXCO","10.188.32.157","D8:BB:C1:7F:D9:CB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VP01092301ADMXC","10.188.175.244","90:B1:1C:78:B2:03","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC189803ADMXCO","10.188.32.159","6C:4B:90:DE:D2:06","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEACF9901ADMXCO","10.188.82.159","00:D8:61:62:56:92","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC13B003ADMXCO","10.188.35.252","D8:BB:C1:7F:D9:C9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VK0AC4D15ADMXCO","10.188.155.10","8C:DC:D4:50:8A:A2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VOC340912ADMXCO","10.188.122.105","40:B0:34:39:50:97","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOB854110ADMXCO","10.188.101.193","6C:4B:90:DE:DB:2D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC48AC03ADMXC","10.188.31.108","D8:BB:C1:7F:D9:EB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC285703ADMXCO","10.188.32.163","00:D8:61:6C:68:C3","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH4545504ADMXCO","10.188.42.10","00:D8:61:6C:68:56","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM304110ADMXCO","10.188.101.25","00:D8:61:62:54:79","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC10D0103ADMXCO","10.188.32.138","6C:4B:90:DE:DB:D4","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDT66AC04ADMXCO","10.188.42.42","6C:4B:90:E2:CE:99","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON996610ADMXCO","10.188.107.138","D8:BB:C1:7F:63:C9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ3ED6713ADMXCO","10.188.131.19","6C:4B:90:B3:99:6B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON8E6F10ADMXCO","10.188.101.103","04:7C:16:9E:B6:BD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI81029308ADMXCO","10.188.87.119","8C:DC:D4:2D:FC:A1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI21028808ALMXC","10.188.85.232","6C:4B:90:BA:3E:62","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XDO008210ADMXCO","10.188.102.117","64:51:06:4D:19:65","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VNJD73C07ADMXCO","10.188.71.87","90:B1:1C:7E:56:75","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB396203ADMXCO","10.188.32.52","6C:4B:90:BA:3E:F5","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM325A10ADMXC0","10.188.105.215","00:D8:61:B2:73:6D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOQA5A310ADMXCO","10.188.107.35","D8:BB:C1:7F:D0:98","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOWF40311ADMXCO","10.188.117.183","D8:BB:C1:7F:DA:55","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VU347B612ADMXCO","10.188.121.11","D8:BB:C1:EA:D8:AA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VY0108C413ADMXC","10.188.131.106
192.168.56.1","0A:00:27:00:00:0E
B8:CA:3A:A3:E3:78","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPT081A13GLMXCO","10.188.216.56","E4:5E:37:14:44:20","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOMBEBF10ADMXCO","10.188.101.66","00:D8:61:62:55:E1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOCDD6C03ADMXCO","10.188.31.42","D8:BB:C1:7F:DA:BA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPMA97307ALMXCO","10.188.65.243
192.168.137.1","72:9C:D1:B5:4D:CF
8C:8C:AA:BC:90:1F","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC293503ADMXC","10.188.31.195","D8:BB:C1:7F:D9:CC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC136B03ADMXCO","10.188.31.121","E0:BE:03:1E:0D:1C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDH985204ADMXCO","10.188.42.111","C0:3F:D5:E8:D6:B8","Windows 10"
